,TIENDA
TIENDA FACATATIVA,0.0018369956981746309
PLAZA CENTRAL,0.0017904894779676782
PLATAFORMA PANADERIA CALI,0.001767236367864202
FACATATIVA,0.0016974770375537728
PLATAFORMA PANDERIA BQUILLA,0.0015579583769329147
MERCACENTRO,0.0014881990466224858
DOSQUEBRADAS,0.0014881990466224858
TIENDA CARTAGO,0.0014649459365190093
RIONEGRO,0.0013951866062085804
BANDERAS,0.0013719334961051041
ADMINISTRACIîN Y FINANZAS,0.0012556679455877223
CHIA BAZAR,0.0011859086152772934
SISTEMAS,0.001162655505173817
COMERCIAL,0.0010463899546564353
IBAGUE CALLE 19,0.0009068712940355773
EASY AP,0.0008138588536216719
SANTAFE MEDELLIN,0.0007208464132077665
TND MERCAREAL,0.0006975933031042902
SAN FELIPE,0.0006743401930008138
INFORMACIîN HISTîRICA,0.0006743401930008138
PLT PANADERIA,0.0006510870828973375
OPERACIîN,0.0006278339727938611
PLATAFORMA PANADERIA BUCARAMANGA,0.0006278339727938611
PLATAFORMA PANADERIA BQUILLA,0.0006045808626903848
TDA PASTO PARQUE INFANTIL,0.0005813277525869085
SPID AUTONRTE-DIREC,0.0005580746424834321
SAN FRANCISCO,0.0005348215323799559
GESTION HUMANA,0.0005348215323799559
TIENDA ATALAYAS,0.0005348215323799559
MERCAREAL,0.0005115684222764795
ND,0.0004883153121730032
EDS SEVILLANA,0.0004883153121730032
PROXI SURTIFRUVER AUTONO,0.0004650622020695268
SOGAMOSO,0.0004650622020695268
EDS SIMON BOLIVAR,0.0004650622020695268
SAN GIL,0.0004650622020695268
CRF EXPRESS CABECERA,0.0004418090919660505
EDS AV.COLOMBIA MEDELLIN,0.0004418090919660505
CRF EXPRESS AV CARACAS CON 49,0.0004418090919660505
ESTACION SERVICIOS MARRUECOS,0.0003953028717590978
PLATAFORMA FABRICA CARNES,0.0003953028717590978
MARKETING,0.0003953028717590978
ADMINISTRACIîN DE LA OPERACIîN,0.00037204976165562144
EDS SAN GABRIEL,0.00037204976165562144
EDS LA17 PEREIRA,0.00037204976165562144
LOGêSTICA,0.00037204976165562144
EDS TINTALITO,0.00037204976165562144
PROXI JAVERIANA,0.00037204976165562144
PROXI CORFERIAS,0.0003487966515521451
EDS AV.DEL RIO,0.00032554354144866875
EDS BAHIA MEDELLIN,0.0003022904313451924
ESTACION DE SERVICIO 190,0.0003022904313451924
APOLO-MEDELLIN,0.0003022904313451924
EDS ALAMOS BOGOTA,0.00027903732124171605
GESTIîN HUMANA,0.00027903732124171605
CRF EXPRESS JAVERIANA,0.00027903732124171605
CRM Y FIDELIDAD,0.00027903732124171605
ESTACION LA TERCERA CALI,0.00025578421113823976
TIENDA SAN FRANCISCO BQUILLA,0.00025578421113823976
EDS ALQUERIA,0.00025578421113823976
RETAIL FINANCIERO,0.00025578421113823976
PROXI AV CARACAS CON 49,0.0002325311010347634
SPID 35 CALLE 93,0.0002325311010347634
PROXI CL 95,0.0002325311010347634
PLATAFORMA FRUVER CALI,0.00020927799093128707
EDS EL TREBOL,0.00020927799093128707
PEREIRA,0.00020927799093128707
ORGANIZACIîN Y PROYECTOS,0.00020927799093128707
EDS CIUDAD DE CALI,0.00020927799093128707
EDS 1ra MAYO BOGOTA,0.00020927799093128707
EDS BAHIA,0.00018602488082781072
PLANIFICACION E INTEGRACION,0.00018602488082781072
ASUNTOS LEGALES,0.00018602488082781072
EDS TEXACO 24,0.00018602488082781072
PROXI SALITRE,0.00018602488082781072
OMNICANAL,0.00018602488082781072
EDS ATACADAO,0.00016277177072433437
CRF EXPRESS ALHAMBRA,0.00016277177072433437
OPERACIONES EASY,0.00016277177072433437
E-COMMERCE,0.00016277177072433437
PASTO PARQUE INFANTIL,0.00016277177072433437
PROXI CALLE 148,0.00016277177072433437
EDS LA42 PALMIRA,0.00013951866062085803
SPID 35 CEDRITOS LCS301,0.00013951866062085803
EDS LA TERCERA,0.00013951866062085803
EDS APOLO,0.00013951866062085803
PROXI CALLE 93,0.00013951866062085803
COMERCIAL PERECEDEROS,0.00013951866062085803
ATALAYAS,0.00013951866062085803
PLATAFORMA FRUVER MEDELLIN,0.0001162655505173817
PROXI CALLE 85 CRA 20,0.0001162655505173817
EDS LA 17,0.0001162655505173817
ORGANIZACION Y PROYECTOS,0.0001162655505173817
PROXI CLL 85,0.0001162655505173817
OBRAS Y PROYECTOS,0.0001162655505173817
PLATAFORMA PLATOS PREPARADOS,0.0001162655505173817
EDS AV.DEL RIO MEDELLIN,0.0001162655505173817
PROXI ALHAMBRA,9.301244041390536e-05
PROXI CALLE 45,9.301244041390536e-05
PLATAFORMA CROSS DOCKING CALI,9.301244041390536e-05
PROXI CEDRITOS,9.301244041390536e-05
PROCUREMENT,9.301244041390536e-05
SPID ALHAMBRA-DIREC,9.301244041390536e-05
ESTACION DE SERVICIO ATACADAO,9.301244041390536e-05
COMERCIAL NON FOOD,9.301244041390536e-05
SHOPPING CENTER,9.301244041390536e-05
PREMIUM MEDELLIN,6.975933031042901e-05
CRF EXPRESS SURTIFRUVER AV 9,6.975933031042901e-05
CRF EXPRESS CALLE 85 CRA 20,6.975933031042901e-05
CRF EXPRESS SURTIFRUVER AUTONO,6.975933031042901e-05
VENTA EMPRESA,6.975933031042901e-05
CROSSDOCKING BARRANQUILLA,6.975933031042901e-05
COMERCIAL CONSUMO MASIVO,6.975933031042901e-05
EDS YUMBO,6.975933031042901e-05
PLT ABASTOS,6.975933031042901e-05
CALI VALLE DE LILI,6.975933031042901e-05
AUDITORêA,4.650622020695268e-05
DESARROLLO INMOBILIARIO,4.650622020695268e-05
BARRANQUILLA,4.650622020695268e-05
CONTROL GESTIîN,4.650622020695268e-05
EDS MARRUECOS,4.650622020695268e-05
CROSSDOCKING BUCARAMANGA,4.650622020695268e-05
ITAGUI ,4.650622020695268e-05
PROXI SURTIFRUVER AV 9,4.650622020695268e-05
SEDE CORPORATIVA,4.650622020695268e-05
SPID 35 CORFERIAS,4.650622020695268e-05
PLANIFICACIîN COMERCIAL,4.650622020695268e-05
CORPORATIVO,4.650622020695268e-05
CRM - FIDELIDAD,4.650622020695268e-05
PROXI SUBA 128A,4.650622020695268e-05
PLATAFORMA CARNES VILLAVICENCIO,4.650622020695268e-05
RIONEGRO ,4.650622020695268e-05
PROXI CALLE 125,4.650622020695268e-05
EDS LAS VEGAS,4.650622020695268e-05
SUPPLY/PROCUREMENT,2.325311010347634e-05
SPID 35 SALITRE,2.325311010347634e-05
EDS IVESUR,2.325311010347634e-05
ROL PRIVADO,2.325311010347634e-05
PLATAFORMA ELECTRO,2.325311010347634e-05
ADM-INVENTARIOS,2.325311010347634e-05
APOLO-MEDELLIN ,2.325311010347634e-05
RIO NEGRO,2.325311010347634e-05
BOGOTA D.C,2.325311010347634e-05
EDS LA 42,2.325311010347634e-05
CALLE 100,2.325311010347634e-05
PLATAFORMA CARNES VILLAVICENCI,2.325311010347634e-05
CRF EXPRESS CALLE 45,2.325311010347634e-05
